Informe Completo;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creación : 28/1/2022;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
;;fecha;monto;fecha;monto;fecha;monto;fecha;monto;Empresa;Industria;Empresa;Industria;;
OMV AG PK;OMVKY;2021- 30/09;8511;2021- 30/06;7266;2021- 31/03;6429;2020- 31/12;4956;13;4.92;0.65;9.18;Comprar;https://es.investing.com/equities/omv-ag-pk
Ubiquiti Networks Inc;UI;2021- 30/09;458.91;2021- 30/06;477.89;2021- 31/03;467.24;2020- 31/12;479.44;102.06;16.57;9.03;5.32;Vender;https://es.investing.com/equities/ubiquiti-networks
3i Group PLC ADR;TGOPY;2021- 30/09;2255;2021- 31/03;630;2020- 30/09;1301;2020- 31/03;-496;25.35;18.74;4.54;14.59;-;https://es.investing.com/equities/3i-adr
Sumitomo Corp ADR;SSUMY;2021- 30/09;1277099;2021- 30/06;1265980;2021- 31/03;1352508;2020- 31/12;1144839;2.96;7.62;0.44;0.65;-;https://es.investing.com/equities/sumitomo-corp
Amcor PLC;AMCR;2021- 30/09;3420;2021- 30/06;3454;2021- 31/03;3207;2020- 31/12;3103;7.41;6.97;1.37;1.53;-;https://es.investing.com/equities/amcor-plc
IDEX Corporation;IEX;2021- 30/09;712.02;2021- 30/06;685.95;2021- 31/03;652.04;2020- 31/12;614.82;10.53;11.37;5.95;6.39;-;https://es.investing.com/equities/idex
Charles River Laboratories;CRL;2021- 25/09;895.94;2021- 26/06;914.61;2021- 27/03;824.57;2020- 26/12;790.99;7.73;11.31;4.6;9.14;-;https://es.investing.com/equities/charles-river-laboratories-intl
International Paper;IP;2021- 30/09;5714;2021- 30/06;5616;2021- 31/03;5363;2020- 31/12;5239;6.19;6.97;0.82;1.53;-;https://es.investing.com/equities/intl-paper-co
Bio-Techne Corp;TECH;2021- 30/09;257.72;2021- 30/06;259.03;2021- 31/03;243.55;2020- 31/12;224.25;8.59;11.31;14.12;9.14;Vender;https://es.investing.com/equities/techne-corp
Camden Property Trust;CPT;2021- 30/09;294.13;2021- 30/06;544.09;2021- 31/03;267.57;2020- 31/12;261.55;1.77;3.89;13.99;13.15;-;https://es.investing.com/equities/camden-property-tr
Entegris Inc;ENTG;2021- 02/10;579.49;2021- 03/07;571.35;2021- 03/04;512.84;2020- 31/12;517.59;14.36;23.26;6.82;14.6;-;https://es.investing.com/equities/entegris-inc.
POSCO;PKX;2021- 30/09;20636882.44;2021- 30/06;18292466.35;2021- 31/03;16068722.91;2020- 31/12;15264210.92;9.96;10.15;0.32;3.84;-;https://es.investing.com/equities/posco
PICC Property and Casualty;PPCCY;2021- 30/06;203530;2020- 31/12;209276;2020- 30/06;205687;2019- 31/12;208631;6.27;undefined;0.32;1.09;-;https://es.investing.com/equities/picc-property-and-casualty
Qualtrics International Inc;XM;2021- 31/12;316.04;2021- 30/09;271.63;2021- 30/06;249.34;2021- 31/03;238.64;-80.52;13.48;12.98;30.35;-;https://es.investing.com/equities/qualtrics-international-inc
Burlington Stores Inc;BURL;2021- 30/10;2304.04;2021- 31/07;2215.91;2021- 01/05;2193.3;2021- 30/01;2282.89;8.55;24.74;1.67;3.74;-;https://es.investing.com/equities/burlington-stor
Molina Healthcare Inc;MOH;2021- 30/09;7040;2021- 30/06;6800;2021- 31/03;6522;2020- 31/12;5235;12.7;3.56;0.63;1.67;Comprar;https://es.investing.com/equities/molina-healthcare-inc
Bath Body Works Inc;BBWI;2021- 30/10;1681;2021- 31/07;3173;2021- 01/05;3024;2021- 30/01;4818;21.62;24.74;1.41;3.74;-;https://es.investing.com/equities/limited-brands
Insulet Corporation;PODD;2021- 30/09;275.6;2021- 30/06;263.2;2021- 31/03;252.3;2020- 31/12;246.1;-1.78;10.18;12.95;124.85;-;https://es.investing.com/equities/insulet-corp
Jacobs Engineering Group Inc;J;2021- 01/10;3586.49;2021- 02/07;3576.44;2021- 02/04;3547.87;2021- 01/01;3381.84;4.19;7.43;1.16;7.46;-;https://es.investing.com/equities/jacobs-engineer
Fresenius Medical Care Corporation;FMS;2019- 30/06;4345;2019- 31/03;4132.56;2018- 31/12;4299.69;2018- 30/09;4057.85;4.07;undefined;1.09;1.67;-;https://es.investing.com/equities/fresenius-medical-care-corp
Advantest Corp ADR;ATEYY;2021- 31/12;112077;2021- 30/09;90874;2021- 30/06;97116;2021- 31/03;90615;25.63;23.26;5.33;14.6;-;https://es.investing.com/equities/advantest-exch?cid=1053110
Celanese Corporation;CE;2021- 30/09;2266;2021- 30/06;2198;2021- 31/03;1798;2020- 31/12;1591;21.69;6.82;2.04;3.65;-;https://es.investing.com/equities/celanese
FactSet Research Systems Inc;FDS;2021- 30/11;424.73;2021- 31/08;411.89;2021- 31/05;399.56;2021- 28/02;391.79;21.07;21.42;9.45;9.26;-;https://es.investing.com/equities/factset-research-systems-inc
Ryanair Holdings PLC ADR;RYAAY;2021- 30/09;1784.4;2021- 30/06;370.5;2021- 31/03;118.4;2020- 31/12;341.2;-6.74;-7.69;7.23;1.9;Vender;https://es.investing.com/equities/ryanair-hldgs
Toshiba Corp PK;TOSYY;2021- 30/09;818534;2021- 30/06;727863;2021- 31/03;954836;2020- 31/12;728154;10.09;7.68;0.63;2.53;-;https://es.investing.com/equities/toshiba-corp-pk
Western Digital Corporation;WDC;2021- 31/12;4833;2021- 01/10;5051;2021- 02/07;4920;2021- 02/04;4137;9.46;40.45;0.89;22.39;-;https://es.investing.com/equities/western-digital
Xp Inc;XP;2021- 30/09;3171.36;2021- 30/06;3018.09;2021- 31/03;2628.04;2020- 31/12;2395.1;4.26;21.42;8.43;9.26;-;https://es.investing.com/equities/xp-inc
CenterPoint Energy Inc;CNP;2021- 30/09;1749;2021- 30/06;1742;2021- 31/03;2547;2020- 31/12;2054;3.13;2.84;2.13;2.62;-;https://es.investing.com/equities/centerpoint
Eisai Co Ltd ADR;ESALY;2021- 30/09;163459;2021- 30/06;198894;2021- 31/03;147610;2020- 31/12;181288;7.61;14.81;2.55;7.06;-;https://es.investing.com/equities/eisai-co-ltd
Fleetcor Technologies Inc;FLT;2021- 30/09;755.48;2021- 30/06;667.38;2021- 31/03;608.62;2020- 31/12;617.33;11.23;16.17;6.84;24.25;-;https://es.investing.com/equities/fleetcor-tech
Royal Caribbean Cruises Ltd;RCL;2021- 30/09;456.96;2021- 30/06;50.91;2021- 31/03;42.01;2020- 31/12;34.14;-19.3;-4.99;33.14;9.67;Vender;https://es.investing.com/equities/royal-caribbean
Air Liquide SA ADR;AIQUY;2021- 30/06;10845.7;2020- 31/12;10212.4;2020- 30/06;10272.8;2019- 31/12;10968;7.57;7.73;3.47;14.98;-;https://es.investing.com/equities/lair-liquide-sa
Avery Dennison Corp;AVY;2021- 02/10;2071.8;2021- 03/07;2102;2021- 03/04;2051.3;2021- 02/01;1990.9;16.26;6.97;1.98;1.53;-;https://es.investing.com/equities/avery-dennison
Chow Tai Fook Jewellery Group;CJEWY;2021- 30/09;44186;2021- 31/03;45490.4;2020- 30/09;24673.4;2020- 31/03;27217.6;22.48;14.55;1.5;2.89;-;https://es.investing.com/equities/chow-tai-fook-jewellery-group
James Hardie Industries PLC ADR;JHX;2021- 30/09;903.2;2021- 30/06;843.3;2021- 31/03;807;2020- 31/12;738.6;12.52;6.44;4.32;3.1;-;https://es.investing.com/equities/james-hardie-industries-se
Thales SA ADR;THLLY;1995- 31/12;35497;1994- 31/12;36388;1993- 31/12;34291;1992- 31/12;34199;3.17;undefined;10.52;undefined;-;https://es.investing.com/equities/thales-adr
Bunge Ltd Pref;BGEPF;2021- 30/09;14117;2021- 30/06;15391;2021- 31/03;12961;2020- 31/12;12610;19.94;-7.57;0.25;3.19;-;https://es.investing.com/equities/bunge-ltd-pfd
Nuance Communications Inc;NUAN;2021- 30/09;333.07;2021- 30/06;336.58;2021- 31/03;346.98;2020- 31/12;345.75;-0.69;13.48;12.85;30.35;-;https://es.investing.com/equities/nuance-communications
China Southern Airlines Co Ltd ADR;ZNH;2021- 30/06;51576;2020- 31/12;53597;2020- 30/06;38964;2019- 31/12;81383;-3.02;-7.69;1.03;1.9;-;https://es.investing.com/equities/china-southern-airlines-co-ltd
VICI Properties Inc;VICI;2021- 30/09;375.7;2021- 30/06;376.4;2021- 31/03;374.31;2020- 31/12;373.02;6.13;3.89;11.57;13.15;-;https://es.investing.com/equities/vici-properties
Deutsche Wohnen SE ADR;DTCWY;2021- 30/09;375.9;2021- 30/06;422.5;2021- 31/03;528;2020- 31/12;1209.9;7.61;6.97;5.64;6.19;-;https://es.investing.com/equities/deutsche-wohnen-adr
Splunk Inc;SPLK;2021- 31/10;664.75;2021- 31/07;605.74;2021- 30/04;502.05;2021- 31/01;745.08;-33.86;13.95;6.89;29.76;-;https://es.investing.com/equities/splunk-inc
China Galaxy Securities Co Ltd ADR;CGXYY;2021- 30/06;11816.86;2020- 31/12;11707.14;2020- 30/06;9054.94;2019- 31/12;8296.71;6.75;9.18;3.46;16.61;-;https://es.investing.com/equities/china-galaxy-securities-adr
MS&AD Insurance Group Holdings PK;MSADY;2010- 31/03;1670175;2009- 31/03;1673070;2008- 31/03;1814813;2007- 31/03;1817653;8.99;undefined;1.75;undefined;-;https://es.investing.com/equities/ms-ad-insurance-group-holdings-pk
Sands China Ltd ADR;SCHYY;2021- 30/06;1620;2020- 31/12;839;2020- 30/06;848;2019- 31/12;4340;-12.36;-2.2;9.13;6.1;-;https://es.investing.com/equities/sands-china-ltd-pk
Franklin Resources Inc;BEN;2021- 30/09;2181;2021- 30/06;2172.9;2021- 31/03;2076.5;2020- 31/12;1995.1;11.58;21.42;1.87;9.26;-;https://es.investing.com/equities/franklin-res
Plug Power Inc;PLUG;2021- 30/09;143.92;2021- 30/06;124.56;2021- 31/03;71.96;2020- 31/12;90.59;-23.19;6.87;24.42;7.58;Vender;https://es.investing.com/equities/plug-power
DISH Network Corporation;DISH;2021- 30/09;4449.64;2021- 30/06;4486.96;2021- 31/03;4497.85;2020- 31/12;4557.36;8.36;5.19;0.89;4.24;-;https://es.investing.com/equities/dish-network
Ramsay Health Care Ltd ADR;RMYHY;2021- 30/06;6523.4;2020- 31/12;5919.2;2020- 30/06;5645.58;2019- 31/12;6337.8;3.34;4.66;1.15;142.82;-;https://es.investing.com/equities/ramsay-health-adr
Arch Capital Group Ltd;ACGL;2021- 30/09;1995.81;2021- 30/06;2447.81;2021- 31/03;2194.11;2020- 31/12;2297.16;8.96;undefined;1.94;1.79;-;https://es.investing.com/equities/arch-capital-group
Arch Capital Group Ltd ADR;ACGLO;2013- 30/06;851.79;2013- 31/03;890.14;2012- 31/12;920.11;2012- 30/09;904.8;8.99;undefined;1.94;1.75;-;https://es.investing.com/equities/arch-capital-adr
CNP Assurances SA ADR;CNPAY;2021- 30/06;23612.4;2020- 31/12;22034.8;2020- 30/06;12722.8;2019- 31/12;22324.6;undefined;undefined;0.33;0.5;-;https://es.investing.com/equities/cnp-assurances-adr
Markel Corporation;MKL;2021- 30/09;2687.69;2021- 30/06;3501.19;2021- 31/03;2900.39;2020- 31/12;3355.65;8.96;undefined;1.3;1.79;-;https://es.investing.com/equities/markel-corp
Masco Corporation;MAS;2021- 30/09;2204;2021- 30/06;2179;2021- 31/03;1970;2020- 31/12;1860;15.38;13.39;1.83;3.48;-;https://es.investing.com/equities/masco-corp
WPP PLC ADR;WPP;2021- 30/06;6132.5;2020- 31/12;6420.1;2020- 30/06;5582.7;2019- 31/12;6865.9;-0.21;5.19;1.04;4.24;-;https://es.investing.com/equities/wpp-plc
Westinghouse Air Brake Technologies Corp;WAB;2021- 30/09;1906.9;2021- 30/06;2012.3;2021- 31/03;1830.2;2020- 31/12;2023.7;2.99;11.38;2.1;7.21;-;https://es.investing.com/equities/westinghouse-air-brake-tech
Repsol SA;REPYY;2021- 30/09;13363;2021- 30/06;10824;2021- 31/03;10066;2020- 31/12;8532;3.19;5.2;0.4;10.12;-;https://es.investing.com/equities/repsol-sa
Ringcentral Inc;RNG;2021- 30/09;414.63;2021- 30/06;379.27;2021- 31/03;352.36;2020- 31/12;334.54;-16.05;13.48;9.74;30.35;-;https://es.investing.com/equities/ringcentral-inc
Ppd Inc;PPD;2021- 30/09;1560.8;2021- 30/06;1575.47;2021- 31/03;1378.38;2020- 31/12;1364.29;8.78;11.31;2.83;9.14;-;https://es.investing.com/equities/ppd-inc
Ajinomoto Co Inc ADR;AJINY;2021- 30/09;273891;2021- 30/06;276338;2021- 31/03;276514;2020- 31/12;283556;8.12;7.65;1.58;1.52;-;https://es.investing.com/equities/ajinomoto-co-inc
Prada Spa PK;PRDSY;2021- 30/06;1501.01;2020- 31/12;1485.08;2020- 30/06;937.66;2019- 31/12;1655.47;4.25;14.15;4.57;7.23;-;https://es.investing.com/equities/prada-spa-pk
LKQ Corporation;LKQ;2021- 30/09;3296.61;2021- 30/06;3435.11;2021- 31/03;3170.79;2020- 31/12;2953.89;10.02;23.53;1.22;2.35;-;https://es.investing.com/equities/lkq
Marubeni Corp ADR;MARUY;2021- 30/09;1941767;2021- 30/06;2134021;2021- 31/03;1728017;2020- 31/12;1558368;8.54;7.58;0.28;0.65;-;https://es.investing.com/equities/marubeni-corp
ConAgra Foods Inc;CAG;2021- 28/11;3058.9;2021- 29/08;2653.3;2021- 30/05;2739.5;2021- 28/02;2771.1;5.24;-6.91;1.51;3.04;-;https://es.investing.com/equities/conagra-foods
Textron Inc;TXT;2021- 02/10;2990;2021- 03/07;3191;2021- 03/04;2879;2021- 02/01;3667;6.44;3.09;1.15;12.02;-;https://es.investing.com/equities/textron-inc
Aluminum Corp of China Ltd ADR;ACH;2021- 30/06;120735.77;2020- 31/12;101885.5;2020- 30/06;84108.75;2019- 31/12;95194.72;5.21;10.15;0.39;3.84;-;https://es.investing.com/equities/aluminum-corp-of-china
Olaplex Holdings Inc;OLPX;2021- 30/09;161.62;2021- 30/06;152.12;2021- 31/03;118.12;2020- 31/12;93.19;14.48;undefined;24.32;5.93;Vender;https://es.investing.com/equities/olaplex-holdings
China Resources Power Holding ADR;CRPJY;2013- 30/06;32347.11;2012- 31/12;31490.97;2012- 30/06;30944.55;2011- 31/12;31675.79;4.99;4.05;1.12;2.14;-;https://es.investing.com/equities/china-res-power-exch
Astra International Tbk PT;PTAIY;2021- 30/09;60007000;2021- 30/06;55695000;2021- 31/03;51700000;2020- 31/12;44697000;9.85;9.85;1.05;1.09;-;https://es.investing.com/equities/pt-astra-international
Coterra Energy Inc;CTRA;2021- 30/09;440.4;2021- 30/06;324.67;2021- 31/03;459.68;2020- 31/12;456.78;8.45;4.92;10.16;9.18;-;https://es.investing.com/equities/cabot-oil---gas
Heico Corp A;HEIa;2021- 31/10;509.42;2021- 31/07;471.71;2021- 30/04;466.65;2021- 31/01;417.9;11.04;3.17;8.74;10.52;-;https://es.investing.com/equities/heico-corp-a
Qorvo Inc;QRVO;2021- 02/10;1255.25;2021- 03/07;1110.35;2021- 03/04;1072.73;2021- 02/01;1094.83;16.97;22.85;3.11;13.67;-;https://es.investing.com/equities/qorvo-inc
CLARIVATE PLC;CLVT;2021- 30/09;442.12;2021- 30/06;445.64;2021- 31/03;428.43;2020- 31/12;455.6;-0.58;7.52;5.99;7.24;-;https://es.investing.com/equities/calgon-carbon-corp
Brookfield Renewable Partners LP;BEP;2021- 30/09;966;2021- 30/06;1019;2021- 31/03;1020;2020- 31/12;897;-0.36;-0.28;2.28;18.73;-;https://es.investing.com/equities/brookfield-renewable-energy-partner
Rollins Inc;ROL;2021- 31/12;600.34;2021- 30/09;650.2;2021- 30/06;638.2;2021- 31/03;535.55;24.5;10.78;5.88;4.99;-;https://es.investing.com/equities/rollins-inc
Equity Lifestyle Properties Inc;ELS;2021- 31/12;324.17;2021- 30/09;331.66;2021- 30/06;316.2;2021- 31/03;295.11;5.96;3.89;10.67;13.15;-;https://es.investing.com/equities/equity-lifestyle-properties-inc
Dynatrace Holdings LLC;DT;2021- 30/09;226.35;2021- 30/06;209.74;2021- 31/03;196.5;2020- 31/12;182.91;5.06;13.95;17.13;29.76;-;https://es.investing.com/equities/dynatrace-holdings-llc
Eastman Chemical Company;EMN;2021- 30/09;2720;2021- 30/06;2653;2021- 31/03;2409;2020- 31/12;2186;3.83;7.1;1.6;3.71;-;https://es.investing.com/equities/eastman-chem
Publicis Groupe SA;PUBGY;2021- 30/06;5493;2020- 31/12;5510;2020- 30/06;5278;2019- 31/12;6133;5.72;5.19;1.36;4.24;-;https://es.investing.com/equities/publicis-groupe-sa
Groep Brussel Lambert NV ADR;GBLBY;2021- 30/09;1902.3;2021- 30/06;3930.2;2021- 31/03;1827.2;2020- 31/12;3480.8;35.05;undefined;1.9;95.09;-;https://es.investing.com/equities/brussel-lambert-adr
Federal Home Loan Mortgage Corp CO Pref;FMCCO;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/federal-home-loan-mortgage-co-pref
Liberty Media Corp SiriusXM B;LSXMB;2020- 30/09;2025;2020- 30/06;3826;2020- 31/03;1952;2019- 31/12;2062;3.17;5.18;3.71;4.42;-;https://es.investing.com/equities/liberty-media-corp-siriusxm-b
American Homes 4 Rent;AMH;2021- 30/09;339.56;2021- 30/06;626.23;2021- 31/03;312.57;2020- 31/12;299.33;2.16;3.89;10.59;13.15;-;https://es.investing.com/equities/amern-hms-4
The AES Corporation;AES;2021- 30/09;3036;2021- 30/06;2700;2021- 31/03;2635;2020- 31/12;2560;3.07;-0.57;1.35;4.21;Comprar;https://es.investing.com/equities/aes-corp
Sociedad Quimica y Minera de Chile SA ADR B;SQM;2021- 30/09;661.55;2021- 30/06;588;2021- 31/03;528.48;2020- 31/12;513.81;6.64;7.1;7.1;3.71;Vender;https://es.investing.com/equities/soc-quimica-adr
CP All PCL ADR;CPPCY;2021- 30/09;125286.93;2021- 30/06;132145.66;2021- 31/03;128548.58;2020- 31/12;131822.73;2.98;9.57;1.07;1.45;-;https://es.investing.com/equities/cp-all-adr
Liberty Media Corp SiriusXM A;LSXMA;2020- 30/09;2025;2020- 30/06;3826;2020- 31/03;1952;2019- 31/12;2062;3.17;5.19;3.71;4.24;-;https://es.investing.com/equities/liberty-media-corp-siriusxm-a
Incyte Corporation;INCY;2021- 30/09;812.99;2021- 30/06;705.71;2021- 31/03;604.72;2020- 31/12;789.51;17.36;11.19;5.43;406.43;-;https://es.investing.com/equities/incyte-corp
Liberty Media Corp SiriusXM C;LSXMK;2020- 30/09;2025;2020- 30/06;3826;2020- 31/03;1952;2019- 31/12;2062;3.17;5.19;3.71;4.24;-;https://es.investing.com/equities/liberty-media-corp-siriusxm-c
Quanta Services Inc;PWR;2021- 30/09;3353.28;2021- 30/06;2999.82;2021- 31/03;2703.58;2020- 31/12;2912.18;7.72;5.66;1.15;1.59;-;https://es.investing.com/equities/quanta-services
Confluent Inc;CFLT;2021- 30/09;102.57;2021- 30/06;88.34;2021- 31/03;77.03;2020- 31/12;70.32;13.48;undefined;45.54;30.35;Vender;https://es.investing.com/equities/confluent
Atlantia SpA ADR;ATASY;2021- 30/09;1941;2021- 30/06;3070;2021- 31/03;2212;2020- 31/12;4993;0.19;0.55;1.6;1.87;-;https://es.investing.com/equities/atlantia-spa
Terna Rete Elettrica Nazionale;TEZNY;2021- 30/09;642.9;2021- 30/06;1231.5;2021- 31/03;621.8;2020- 31/12;1299.8;2.79;undefined;5.39;1.32;Vender;https://es.investing.com/equities/terna-rete-elettrica-nazionale
Siemens Gamesa Renewable Energy SA ADR;GCTAY;2021- 30/09;10197.82;2021- 30/06;2704;2021- 31/03;2335.83;2020- 31/12;2295;-7.88;-7.87;1.26;1.43;-;https://es.investing.com/equities/siemens-gamesa-adr
Viatris Inc;VTRS;2021- 30/09;4536.6;2021- 30/06;4577.8;2021- 31/03;4430.3;2020- 31/12;3623.5;-5.49;12.42;1.03;7.9;-;https://es.investing.com/equities/mylan-inc
Telia Company AB ADR;TLSNY;2021- 30/09;21271;2021- 30/06;21877;2021- 31/03;21814;2020- 31/12;23465;-7.15;-6.58;1.66;2.18;-;https://es.investing.com/equities/teliasonera-ab
Alfa Laval AB ADR;ALFVY;2021- 30/09;10275;2021- 30/06;9975;2021- 31/03;8969;2020- 31/12;10695;9.2;15.69;3.3;6.56;-;https://es.investing.com/equities/alfa-laval-adr
Omnicom Group Inc;OMC;2021- 30/09;3435;2021- 30/06;3571.6;2021- 31/03;3426.9;2020- 31/12;3757;13.4;5.18;1.1;4.42;-;https://es.investing.com/equities/omnicom-gp-inc
Evergy Inc;EVRG;2021- 30/09;1616.5;2021- 30/06;1236.2;2021- 31/03;1611.9;2020- 31/12;1094.4;3.5;2.65;2.61;4.34;-;https://es.investing.com/equities/westar-energy
ASE Industrial Holding Co Ltd ADR;ASX;2021- 30/09;150664.82;2021- 30/06;126926.35;2021- 31/03;119469.78;2020- 31/12;148877.38;10.77;23.26;0.8;14.6;-;https://es.investing.com/equities/advanced-semiconductor-engineering
Continental Resources Inc;CLR;2021- 30/09;1341.41;2021- 30/06;1235.12;2021- 31/03;1215.82;2020- 31/12;837.64;6.04;4.92;4.12;9.18;Comprar;https://es.investing.com/equities/continental-resources-inc
Santos Ltd ADR;SSLZY;2021- 30/06;2112;2020- 31/12;1784;2020- 30/06;1728;2019- 31/12;2143;1.73;4.92;4.17;9.18;-;https://es.investing.com/equities/santos-ltd
MarketAxess Holdings Inc;MKTX;2021- 31/12;165.06;2021- 30/09;162.09;2021- 30/06;176.33;2021- 31/03;195.46;25.78;22.04;17.96;9.29;Vender;https://es.investing.com/equities/marketaxess-holdi
argenx NV ADR;ARGX;2021- 30/09;0.86;2021- 30/06;470.4;2021- 31/03;158.16;2020- 31/12;16.29;11.19;undefined;27.85;406.43;-;https://es.investing.com/equities/argenx
Kikkoman Corp ADR;KIKOY;2021- 30/09;124941;2021- 30/06;123739;2021- 31/03;439411;2020- 31/12;120741;10.41;7.65;3.5;1.54;Vender;https://es.investing.com/equities/kikkoman-adr
Discovery Inc Class A;DISCA;2021- 30/09;3150;2021- 30/06;3062;2021- 31/03;2792;2020- 31/12;2886;4.92;5.18;1.06;4.42;-;https://es.investing.com/equities/discovery-holding-co
Federal Home Loan Mortgage Corp Pref Perpetual;FMCCT;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/fed-home-ln-pfd
Rakuten Inc ADR;RKUNY;2021- 30/09;406903;2021- 30/06;402158;2021- 31/03;391513;2020- 31/12;415348;-1.06;14.53;0.94;4.54;-;https://es.investing.com/equities/rakuten-adr
Liberty Global PLC Class B;LBTYB;2021- 30/09;1901.4;2021- 30/06;6489.1;2021- 31/03;3615.3;2020- 31/12;3426.9;26.3;6.56;1.17;3.51;-;https://es.investing.com/equities/liberty-global-(b)
JBS SA;JBSAY;2021- 30/09;92625.32;2021- 30/06;85626.93;2021- 31/03;75251.22;2020- 31/12;76059.4;13.58;12.74;0.25;0.68;-;https://es.investing.com/equities/jbs-sa
Athene Holding Ltd;ATH;2021- 30/09;8672;2021- 30/06;6328;2021- 31/03;4447;2020- 31/12;8450;8.99;undefined;0.57;1.75;-;https://es.investing.com/equities/athene-holding-ltd
Nippon Steel Corp ADR;NPSCY;2021- 30/09;1660792;2021- 30/06;1503151;2021- 31/03;1379455;2020- 31/12;1207824;8.8;8.03;0.3;0.65;Comprar;https://es.investing.com/equities/nippon-steel---sumitomo-metal
Biomarin Pharmaceutical Inc;BMRN;2021- 30/09;408.74;2021- 30/06;501.69;2021- 31/03;486.03;2020- 31/12;452.12;-0.85;11.19;8.25;406.43;-;https://es.investing.com/equities/biomarin-pharmaceuticals
Secom Co Ltd ADR;SOMLY;2021- 30/09;258381;2021- 30/06;244277;2021- 31/03;282818;2020- 31/12;261878;7.57;6.9;1.82;1.86;-;https://es.investing.com/equities/secom-co-ltd
Alliant Energy Corp;LNT;2021- 30/09;1024;2021- 30/06;817;2021- 31/03;901;2020- 31/12;817;3.91;2.65;4.14;4.34;-;https://es.investing.com/equities/alliant-energy
CK Infrastructure Holdings Ltd ADR;CKISY;2021- 30/06;3588;2020- 31/12;4024;2020- 30/06;3158;2019- 31/12;3488;5.37;5.74;15.97;22.8;-;https://es.investing.com/equities/ck-infrastructure-adr
Check Point Software Technologies Ltd;CHKP;2021- 30/09;534;2021- 30/06;526.1;2021- 31/03;507.6;2020- 31/12;563.8;19.76;13.48;7.32;30.35;-;https://es.investing.com/equities/check-point-software-tech-lt
Federal Home Loan Mortgage Corp CH Pref;FMCCH;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/federal-home-loan-mortgage-ch-pref
Woodside Petroleum Ltd ADR;WOPEY;2021- 30/06;2504;2020- 31/12;1693;2020- 30/06;1907;2019- 31/12;2613;1.85;-0.38;4.03;6463.7;-;https://es.investing.com/equities/woodside-petroleum-ltd
10X Genomics Inc;TXG;2021- 30/09;125.3;2021- 30/06;115.84;2021- 31/03;105.82;2020- 31/12;112.22;-50.96;11.31;20.89;9.14;Vender;https://es.investing.com/equities/10x-genomics-inc
Ceridian HCM Holding Inc;CDAY;2021- 30/09;257.2;2021- 30/06;250.4;2021- 31/03;234.5;2020- 31/12;222.8;-2.51;13.95;10.75;29.76;-;https://es.investing.com/equities/ceridian-hcm-holding-inc
Federal Home Loan Mortgage Corp GP Pref;FREGP;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/federal-home-loan-mortgage-gp-pref
Zillow Group Inc Class C;Z;2021- 30/09;1736.64;2021- 30/06;1309.98;2021- 31/03;1218.44;2020- 31/12;788.95;-3.13;3.48;2.34;214.02;-;https://es.investing.com/equities/zillow
Masimo Corporation;MASI;2021- 02/10;307.41;2021- 03/07;305.12;2021- 03/04;299.04;2021- 02/01;295.05;15.37;9.96;9.13;152.92;Comprar;https://es.investing.com/equities/masimo-corp
TDK Corp ADR;TTDKY;2021- 30/09;474127;2021- 30/06;420058;2021- 31/03;392211;2020- 31/12;395686;7.32;9.86;0.91;8.27;-;https://es.investing.com/equities/tdk-corp
SolarEdge Technologies Inc;SEDG;2021- 30/09;526.4;2021- 30/06;885.55;2021- 31/03;405.49;2020- 31/12;358.11;7.03;22.85;6.23;13.67;-;https://es.investing.com/equities/solaredge-technologies-inc
JM Smucker Company;SJM;2021- 31/10;2050;2021- 31/07;1858;2021- 30/04;1920.2;2021- 31/01;2076.7;5.38;-7.57;1.91;3.19;-;https://es.investing.com/equities/jm-smucker-co
Trex Company Inc;TREX;2021- 30/09;335.87;2021- 30/06;311.6;2021- 31/03;245.52;2020- 31/12;228.29;32.3;13.33;8.77;3.29;Vender;https://es.investing.com/equities/trex-co.-inc
Discovery Communications C Inc;DISCK;2021- 30/09;3150;2021- 30/06;3062;2021- 31/03;2792;2020- 31/12;2886;4.92;5.19;1.06;4.24;-;https://es.investing.com/equities/discovery-communications-(c)
W P Carey Inc;WPC;2021- 30/09;325.75;2021- 30/06;319.72;2021- 31/03;311.17;2020- 31/12;307.37;3.2;3.89;11.09;13.15;-;https://es.investing.com/equities/w-p-carey-inc
Federal National Mortgage Association Pref T;FNMAT;2021- 30/09;25092;2021- 30/06;25209;2021- 31/03;23646;2020- 31/12;24951;0.54;0.51;0.01;0.01;-;https://es.investing.com/equities/federal-natl-pfd-t
